,age,fnlwgt,education,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income,Scored Labels,Scored Probabilities
56,27,107812,Bachelors,13,Married-civ-spouse,Other-relative,White,Male,0,0,40,>50K,<=50K,0.14998828470982642
57,47,145290,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,2415,50,>50K,>50K,0.9459080839941529
58,28,226198,HS-grad,9,Divorced,Not-in-family,White,Female,0,0,40,<=50K,<=50K,0.01826501929410289
59,59,31137,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,<=50K,0.3480878836518838
60,33,40444,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.28042549170584163
61,33,193246,HS-grad,9,Never-married,Not-in-family,White,Male,0,0,55,<=50K,<=50K,0.07966978994931585
62,47,120429,Doctorate,16,Married-civ-spouse,Husband,White,Male,15024,0,50,>50K,>50K,0.9989705924331844
63,90,40388,Bachelors,13,Never-married,Not-in-family,White,Male,0,0,55,<=50K,<=50K,0.18471175705717158
64,28,168514,Assoc-acdm,12,Married-civ-spouse,Wife,White,Female,0,0,40,<=50K,<=50K,0.44019102827332734
65,29,144259,Bachelors,13,Married-civ-spouse,Husband,Black,Male,4386,0,80,>50K,>50K,0.6229464376809429
66,21,41183,Some-college,10,Never-married,Own-child,White,Female,0,0,20,<=50K,<=50K,0.0002978788488626336
67,44,103459,HS-grad,9,Married-civ-spouse,Wife,White,Female,0,0,40,>50K,<=50K,0.3772873008351409
68,57,287229,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,48,>50K,<=50K,0.4216050002126164
69,38,65624,HS-grad,9,Divorced,Not-in-family,White,Male,0,0,40,<=50K,<=50K,0.03569231481282879
70,22,88126,Bachelors,13,Never-married,Own-child,White,Male,0,0,40,<=50K,<=50K,0.006705092082822939
71,28,419740,Bachelors,13,Never-married,Not-in-family,White,Male,0,0,52,<=50K,<=50K,0.21540933003930574
72,52,279337,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.36273708395078463
73,64,149044,Masters,14,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,2057,60,<=50K,<=50K,0.36507384280775884
74,65,262446,11th,7,Married-civ-spouse,Husband,White,Male,0,0,20,<=50K,<=50K,0.048712496601580245
75,48,54744,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.2868022110811009
76,28,291374,10th,6,Never-married,Unmarried,Black,Female,0,0,40,<=50K,<=50K,0.006326859809634635
77,49,169711,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,>50K,0.5327724106413871
78,51,259363,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,60,>50K,>50K,0.5483551260985364
79,53,246820,Doctorate,16,Married-civ-spouse,Husband,White,Male,0,0,50,>50K,>50K,0.876198516438738
80,22,236684,Assoc-voc,11,Never-married,Own-child,Black,Female,0,0,36,<=50K,<=50K,0.0011182622777034098
81,31,257644,11th,7,Never-married,Unmarried,White,Male,0,0,40,<=50K,<=50K,0.01349877954864701
82,56,208431,Some-college,10,Widowed,Not-in-family,Black,Female,0,0,32,<=50K,<=50K,0.03539436413463543
83,26,195216,HS-grad,9,Divorced,Not-in-family,White,Female,0,0,12,<=50K,<=50K,0.002707696498153141
84,43,116852,HS-grad,9,Married-civ-spouse,Wife,White,Female,0,0,36,>50K,<=50K,0.35183006768018854
85,32,29312,Some-college,10,Never-married,Own-child,White,Male,0,0,40,<=50K,<=50K,0.018760938709399797
86,20,95918,9th,5,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.007189439297766923
87,56,200235,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,60,<=50K,>50K,0.534646346626065
88,33,185336,Assoc-voc,11,Married-civ-spouse,Wife,Black,Female,0,0,40,<=50K,<=50K,0.4487366085263165
89,29,351871,Bachelors,13,Never-married,Not-in-family,White,Male,0,0,50,>50K,<=50K,0.23186093603705127
90,26,150062,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,50,<=50K,<=50K,0.16568297039328778
91,28,249362,11th,7,Married-civ-spouse,Husband,White,Male,0,0,50,<=50K,<=50K,0.11670800688099722
92,70,187292,Bachelors,13,Married-civ-spouse,Husband,White,Male,6418,0,40,>50K,>50K,0.9213690265342592
93,37,215392,Bachelors,13,Divorced,Not-in-family,White,Female,0,0,40,<=50K,<=50K,0.10658326606532942
94,43,180599,Bachelors,13,Separated,Unmarried,White,Male,8614,0,40,>50K,>50K,0.9918297078962657
95,30,167790,HS-grad,9,Never-married,Own-child,White,Female,0,0,40,<=50K,<=50K,0.011557038221434418
96,53,297796,10th,6,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.19082670998064602
97,34,114691,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,<=50K,0.1839090989474191
98,45,111979,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.3321235856460244
99,45,119199,Assoc-acdm,12,Divorced,Unmarried,White,Female,0,0,48,<=50K,<=50K,0.10432344316576943
100,21,119704,Some-college,10,Never-married,Unmarried,White,Female,0,0,35,<=50K,<=50K,0.001415210454722385
101,33,709798,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,60,>50K,>50K,0.7209928857053945
102,34,303867,9th,5,Never-married,Own-child,White,Male,0,0,40,<=50K,<=50K,0.0057520320550265396
103,54,118108,HS-grad,9,Married-civ-spouse,Husband,Black,Male,0,0,40,<=50K,<=50K,0.32302662654622144
104,52,225317,5th-6th,3,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.08104654121350756
105,45,257855,11th,7,Married-civ-spouse,Husband,Black,Male,0,0,50,<=50K,<=50K,0.21496168672668492
106,18,279593,11th,7,Never-married,Own-child,White,Female,0,0,2,<=50K,<=50K,4.790923623690477e-05
107,18,184016,HS-grad,9,Married-civ-spouse,Not-in-family,White,Female,3103,0,40,<=50K,<=50K,0.09140522967043659
108,60,116230,7th-8th,4,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.09272357630193068
109,50,128798,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,>50K,0.7178666413517393
110,30,204374,Bachelors,13,Never-married,Not-in-family,White,Male,0,1741,48,<=50K,<=50K,0.0860861669932092
111,47,27815,9th,5,Divorced,Not-in-family,White,Female,0,1719,30,<=50K,<=50K,0.0031900279154868563
112,44,476391,Some-college,10,Divorced,Not-in-family,White,Female,0,0,40,<=50K,<=50K,0.07416777404088823
113,32,210926,11th,7,Separated,Unmarried,White,Female,0,0,40,<=50K,<=50K,0.007783188507164502
114,44,219591,Some-college,10,Divorced,Own-child,White,Male,0,0,40,<=50K,<=50K,0.05818901382638632
115,21,346341,Some-college,10,Never-married,Not-in-family,White,Female,0,0,40,<=50K,<=50K,0.004855256451573532
116,33,175509,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.2025256835855154
117,20,148709,Some-college,10,Never-married,Unmarried,White,Female,0,0,25,<=50K,<=50K,0.00025114228082733127
118,37,167482,HS-grad,9,Never-married,Own-child,White,Male,0,0,40,<=50K,<=50K,0.025495858715916437
119,31,126501,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.30140478224430045
120,27,127796,5th-6th,3,Never-married,Not-in-family,White,Male,0,0,35,<=50K,<=50K,0.00310957657255174
121,25,109419,HS-grad,9,Never-married,Own-child,White,Female,0,0,40,<=50K,<=50K,0.005281789606059632
122,44,193459,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,3411,0,40,<=50K,<=50K,0.12863900918230897
123,27,118799,HS-grad,9,Divorced,Not-in-family,White,Female,0,0,40,<=50K,<=50K,0.011841881738811294
124,67,160158,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,8,<=50K,<=50K,0.13856161597013042
125,43,193882,Some-college,10,Married-civ-spouse,Husband,White,Male,7688,0,40,>50K,>50K,0.9938614780873924
126,36,301614,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.2059342418311918
127,63,152163,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.2794063032833923
128,44,203761,Bachelors,13,Never-married,Own-child,White,Male,10520,0,40,>50K,>50K,0.9825434479565571
129,19,318002,HS-grad,9,Never-married,Own-child,White,Male,0,0,40,<=50K,<=50K,0.000841985591018416
130,17,198146,11th,7,Never-married,Own-child,White,Female,0,0,15,<=50K,<=50K,0.0001227779014241064
131,62,113443,Masters,14,Divorced,Not-in-family,White,Female,10520,0,33,>50K,>50K,0.9286776406274093
132,49,191277,Some-college,10,Married-civ-spouse,Husband,White,Male,15024,0,50,>50K,>50K,0.9975413713116983
133,58,205267,Bachelors,13,Married-civ-spouse,Wife,White,Female,0,0,40,>50K,>50K,0.7397731185885664
134,38,59660,Bachelors,13,Married-civ-spouse,Husband,White,Male,7298,0,40,>50K,>50K,0.9895840877095173
135,32,107218,Bachelors,13,Never-married,Not-in-family,Asian-Pac-Islander,Male,0,0,40,<=50K,<=50K,0.06267507537794806
136,39,158962,Some-college,10,Divorced,Unmarried,White,Female,0,0,40,<=50K,<=50K,0.03174731232837003
137,24,174461,Bachelors,13,Never-married,Not-in-family,White,Female,0,0,50,<=50K,<=50K,0.07341468360268395
138,60,149281,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.35007191414271865
139,71,179574,Prof-school,15,Married-civ-spouse,Husband,White,Male,0,0,12,>50K,<=50K,0.471891219605367
140,25,242464,Bachelors,13,Never-married,Not-in-family,White,Male,0,0,40,<=50K,<=50K,0.04999769573738777
141,23,103064,Bachelors,13,Never-married,Not-in-family,White,Female,0,0,40,<=50K,<=50K,0.007107723503002413
142,35,208378,12th,8,Separated,Unmarried,White,Female,0,0,40,<=50K,<=50K,0.01058788268431277
143,49,237920,Doctorate,16,Married-civ-spouse,Husband,White,Male,0,0,60,<=50K,>50K,0.8488026028090544
144,43,96102,Masters,14,Married-spouse-absent,Not-in-family,White,Male,0,0,50,<=50K,<=50K,0.36437257421158936
145,52,138944,11th,7,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,<=50K,0.18229824596465227
146,23,84648,Some-college,10,Never-married,Own-child,White,Female,0,0,25,<=50K,<=50K,0.0003678575208608335
147,31,202729,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,<=50K,0.1857714369373627
148,19,272800,12th,8,Never-married,Own-child,White,Female,0,0,25,<=50K,<=50K,0.00015477794055782535
149,44,328561,Assoc-voc,11,Married-civ-spouse,Other-relative,White,Female,0,0,20,<=50K,<=50K,0.1641318717423427
150,40,283724,9th,5,Never-married,Other-relative,Black,Male,0,0,49,<=50K,<=50K,0.01902419207476179
151,56,303090,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,50,<=50K,>50K,0.5361174148484801
152,28,273929,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,1628,60,<=50K,<=50K,0.060651744942447135
153,55,249072,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,60,<=50K,<=50K,0.41081144509748535
154,38,40077,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,50,>50K,<=50K,0.25304127781497615
155,44,172479,HS-grad,9,Married-civ-spouse,Husband,White,Male,15024,0,60,>50K,>50K,0.998292055330158
156,40,226388,HS-grad,9,Married-civ-spouse,Husband,Black,Male,0,0,40,<=50K,<=50K,0.19587678867135794
157,40,478205,Bachelors,13,Never-married,Other-relative,White,Female,0,0,40,<=50K,<=50K,0.07370531912477873
158,65,170939,Bachelors,13,Divorced,Not-in-family,White,Male,6723,0,40,<=50K,<=50K,0.1559408357888879
159,33,202642,Bachelors,13,Separated,Other-relative,Black,Female,0,0,40,<=50K,<=50K,0.04313411582504675
160,37,409189,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,45,<=50K,>50K,0.5320698014078353
161,31,180551,HS-grad,9,Married-civ-spouse,Wife,White,Female,0,0,40,>50K,<=50K,0.3302423345072012
162,30,233993,Bachelors,13,Never-married,Own-child,White,Female,0,0,15,<=50K,<=50K,0.01593606161566763
163,43,242488,Some-college,10,Married-civ-spouse,Husband,White,Male,5013,0,40,<=50K,<=50K,0.15099196996468303
164,46,110794,Some-college,10,Never-married,Not-in-family,White,Female,0,0,40,<=50K,<=50K,0.04914589313369188
165,42,124792,HS-grad,9,Married-civ-spouse,Husband,Black,Male,7688,0,45,>50K,>50K,0.9943541334063265
166,33,170769,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.2025256835855154
167,42,42703,HS-grad,9,Divorced,Unmarried,White,Female,0,0,40,<=50K,<=50K,0.017659774886172375
168,29,360527,Masters,14,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,>50K,0.5196311552568952
169,33,137674,HS-grad,9,Married-civ-spouse,Husband,Black,Male,0,0,40,<=50K,<=50K,0.13197080172690265
170,44,107218,Bachelors,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,<=50K,>50K,0.5922078387640259
171,72,268861,7th-8th,4,Widowed,Not-in-family,White,Female,0,0,99,<=50K,<=50K,0.015049792667138538
172,37,126569,HS-grad,9,Never-married,Not-in-family,White,Male,0,0,40,<=50K,<=50K,0.04443265163411021
173,23,292023,HS-grad,9,Never-married,Not-in-family,White,Male,0,0,45,<=50K,<=50K,0.010077497182414524
174,30,118551,Bachelors,13,Married-civ-spouse,Wife,White,Female,0,0,16,>50K,>50K,0.5783038848795112
175,17,145886,11th,7,Never-married,Own-child,White,Female,0,0,30,<=50K,<=50K,0.0001227779014241064
176,35,267776,HS-grad,9,Never-married,Other-relative,White,Female,0,0,30,<=50K,<=50K,0.006059522976800708
177,22,124971,Bachelors,13,Never-married,Not-in-family,White,Male,0,0,40,<=50K,<=50K,0.015486767039515334
178,26,179772,Bachelors,13,Never-married,Not-in-family,White,Female,0,0,45,<=50K,<=50K,0.07711655341070359
179,50,285200,Some-college,10,Married-civ-spouse,Husband,White,Male,0,1887,35,>50K,>50K,0.9149689130194008
180,25,102476,Bachelors,13,Never-married,Not-in-family,White,Male,0,0,50,<=50K,<=50K,0.11162521714133337
181,35,37778,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,3103,0,55,<=50K,>50K,0.876162730103135
182,38,289148,HS-grad,9,Married-spouse-absent,Unmarried,White,Female,0,0,40,<=50K,<=50K,0.017891573099818838
183,45,76008,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,50,>50K,>50K,0.712372506680305
184,35,107160,12th,8,Separated,Not-in-family,White,Female,0,0,30,<=50K,<=50K,0.006885527952359983
185,19,217769,Some-college,10,Never-married,Own-child,White,Female,594,0,10,<=50K,<=50K,4.1265344647573e-05
186,28,60288,HS-grad,9,Never-married,Own-child,White,Female,0,0,40,<=50K,<=50K,0.006249265824221569
187,40,208470,HS-grad,9,Never-married,Not-in-family,White,Male,0,0,40,<=50K,<=50K,0.05315774743204956
188,26,233933,10th,6,Never-married,Not-in-family,White,Female,0,0,32,<=50K,<=50K,0.002961459352395568
189,36,242713,HS-grad,9,Divorced,Unmarried,Black,Female,0,0,40,<=50K,<=50K,0.008709600423893455
190,40,163342,HS-grad,9,Never-married,Not-in-family,White,Female,0,0,70,<=50K,<=50K,0.06293437232778372
191,55,208451,Masters,14,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,>50K,0.7302028910561907
192,47,148724,HS-grad,9,Married-civ-spouse,Husband,Black,Male,0,0,40,<=50K,<=50K,0.30511365206721347
193,40,55363,HS-grad,9,Married-civ-spouse,Husband,White,Male,3411,0,40,<=50K,<=50K,0.03615427346106594
194,57,121362,Some-college,10,Widowed,Unmarried,White,Female,0,2258,38,>50K,<=50K,0.15117074737634373
195,38,245090,9th,5,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.06108943315544919
196,26,152855,HS-grad,9,Never-married,Own-child,Other,Female,0,0,40,<=50K,<=50K,0.004204065975854601
197,23,220912,Bachelors,13,Never-married,Not-in-family,Black,Female,0,0,40,<=50K,<=50K,0.005607592712307344
198,40,115331,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,35,<=50K,<=50K,0.16250467074183703
199,31,223327,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,<=50K,0.1857714369373627
200,18,282609,5th-6th,3,Never-married,Other-relative,White,Male,0,0,30,<=50K,<=50K,0.0020937809267819714
201,25,193701,Bachelors,13,Never-married,Not-in-family,White,Female,0,0,38,<=50K,<=50K,0.02730816297039685
202,37,82521,Bachelors,13,Married-civ-spouse,Husband,White,Male,15024,0,40,>50K,>50K,0.998799670600228
203,61,227468,HS-grad,9,Divorced,Unmarried,Black,Female,0,0,40,<=50K,<=50K,0.021152281554149933
204,19,178147,Some-college,10,Never-married,Own-child,White,Male,0,0,10,<=50K,<=50K,0.00021260559623371584
205,42,155972,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,<=50K,0.3054900031860374
206,36,143123,Prof-school,15,Married-civ-spouse,Husband,White,Male,0,0,50,>50K,>50K,0.8331426378364033
207,31,80933,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,52,<=50K,<=50K,0.23871535569742836
208,25,262664,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,<=50K,0.30396344058223185
209,32,283400,HS-grad,9,Never-married,Not-in-family,White,Female,0,0,40,<=50K,<=50K,0.0197019656816631
210,55,189985,Some-college,10,Divorced,Unmarried,Black,Female,0,0,40,<=50K,<=50K,0.036378574166136685
211,23,210781,Bachelors,13,Never-married,Own-child,White,Female,0,0,15,<=50K,<=50K,0.0011601127166551005
212,42,227466,HS-grad,9,Never-married,Other-relative,Black,Male,0,0,40,<=50K,<=50K,0.035390564217683614
213,58,41374,HS-grad,9,Widowed,Unmarried,Amer-Indian-Eskimo,Male,0,0,40,<=50K,<=50K,0.08064997248390857
214,39,191502,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.4627851559079996
215,35,225860,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,<=50K,0.39745497336199254
216,50,198362,Assoc-voc,11,Widowed,Unmarried,White,Female,0,0,40,<=50K,<=50K,0.08506310730983165
217,37,86150,Bachelors,13,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,0,30,>50K,<=50K,0.47207146116837595
218,49,362795,Masters,14,Divorced,Unmarried,White,Male,99999,0,80,>50K,>50K,0.9844316708769697
219,21,304602,Assoc-voc,11,Never-married,Own-child,White,Male,0,0,98,<=50K,<=50K,0.013968876459962268
220,28,131310,12th,8,Married-civ-spouse,Wife,White,Female,0,0,20,<=50K,<=50K,0.07230213790712836
221,52,48343,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.44976149493034023
222,27,113054,HS-grad,9,Separated,Not-in-family,White,Male,0,0,43,<=50K,<=50K,0.027369571920400446
223,52,194791,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,>50K,0.5058930743716157
224,57,278228,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,50,>50K,>50K,0.7474557068459796
225,50,111700,Masters,14,Never-married,Not-in-family,White,Female,0,0,50,<=50K,<=50K,0.3588197471508027
226,43,138184,HS-grad,9,Divorced,Not-in-family,Black,Female,0,1762,35,<=50K,<=50K,0.005063510004824461
227,26,125680,Bachelors,13,Never-married,Not-in-family,Asian-Pac-Islander,Male,0,0,16,<=50K,<=50K,0.007687773879223207
228,38,51838,HS-grad,9,Married-civ-spouse,Wife,White,Female,0,0,40,<=50K,<=50K,0.3247994290880293
229,56,32855,HS-grad,9,Divorced,Not-in-family,White,Male,0,0,40,<=50K,<=50K,0.07172724635107802
230,21,136975,HS-grad,9,Never-married,Own-child,White,Male,0,0,40,<=50K,<=50K,0.003126311175851381
231,57,159319,Masters,14,Married-civ-spouse,Husband,White,Male,0,0,50,>50K,>50K,0.7829589728107414
232,21,202125,HS-grad,9,Never-married,Not-in-family,White,Male,0,0,40,<=50K,<=50K,0.00554284991924857
233,36,152621,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,<=50K,0.3490464592342139
234,40,219240,HS-grad,9,Divorced,Unmarried,White,Female,0,0,22,<=50K,<=50K,0.007974802607441298
235,43,43945,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,<=50K,0.3420141683460149
236,59,322691,Masters,14,Married-civ-spouse,Husband,White,Male,0,0,50,>50K,>50K,0.7856629836095138
237,45,142719,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.3591409110501079
238,42,29962,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.2742506990547356
239,29,109001,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,35,<=50K,<=50K,0.12235093901599199
240,46,110457,Masters,14,Married-civ-spouse,Husband,White,Male,0,0,55,>50K,>50K,0.8089407339914269
